month_year,Cake,Coffee,Cookie,Juice,Salad,Sandwich,Smoothie,Tea,Unknown
2023-01,855.0,556.0,250.0,918.0,1575.0,1384.0,756.0,396.0,564.0
2023-02,684.0,572.0,223.0,846.0,1200.0,1016.0,1012.0,400.5,690.5
2023-03,801.0,650.0,269.0,924.0,1330.0,1176.0,988.0,388.5,689.5
2023-04,816.0,512.0,218.0,915.0,1460.0,1028.0,1148.0,367.5,714.5
2023-05,843.0,502.0,266.0,831.0,1220.0,1168.0,1048.0,342.0,737.5
2023-06,777.0,590.0,255.0,855.0,1505.0,1104.0,1140.0,390.0,737.0
2023-07,717.0,582.0,286.0,627.0,1475.0,1056.0,1056.0,376.5,702.0
2023-08,834.0,608.0,249.0,705.0,1450.0,1024.0,1052.0,426.0,764.5
2023-09,867.0,450.0,259.0,735.0,1180.0,1128.0,1172.0,417.0,663.0
2023-10,951.0,680.0,257.0,915.0,1420.0,968.0,1108.0,456.0,559.0
2023-11,927.0,492.0,289.0,816.0,1470.0,996.0,1124.0,324.0,529.0
2023-12,762.0,620.0,255.0,936.0,1290.0,1020.0,1172.0,381.0,741.0
