item,month_year,quantity,order_total
Beef Chili,2022-01,71.0,497.0
Brownie,2022-01,46.0,276.0
Cheese Fries,2022-01,65.0,325.0
Cheesecake,2022-01,55.0,385.0
Chicken Melt,2022-01,79.0,632.0
Chocolate Cake,2022-01,104.0,624.0
Coca Cola,2022-01,115.0,287.5
French Fries,2022-01,133.0,532.0
Fruit Salad,2022-01,58.0,232.0
Garlic Bread,2022-01,67.0,268.0
Grilled Chicken,2022-01,89.0,1335.0
Grilled Vegetables,2022-01,59.0,295.0
Ice Cream,2022-01,157.0,785.0
Iced Tea,2022-01,30.0,75.0
Lemonade,2022-01,55.0,165.0
Mashed Potatoes,2022-01,113.0,452.0
Nachos Grande,2022-01,23.0,230.0
Onion Rings,2022-01,39.0,195.0
Orange Juice,2022-01,77.0,231.0
Pasta Alfredo,2022-01,107.0,1284.0
Salmon,2022-01,73.0,1314.0
Side Salad,2022-01,145.0,435.0
Steak,2022-01,96.0,1920.0
Sweet Potato Fries,2022-01,38.0,190.0
Vegetarian Platter,2022-01,26.0,364.0
Water,2022-01,154.0,154.0
unknown,2022-01,156.0,924.0
Beef Chili,2022-02,44.0,308.0
Brownie,2022-02,43.0,258.0
Cheese Fries,2022-02,77.0,385.0
Cheesecake,2022-02,84.0,588.0
Chicken Melt,2022-02,45.0,360.0
Chocolate Cake,2022-02,105.0,630.0
Coca Cola,2022-02,78.0,195.0
French Fries,2022-02,84.0,336.0
Fruit Salad,2022-02,72.0,288.0
Garlic Bread,2022-02,33.0,132.0
Grilled Chicken,2022-02,116.0,1740.0
Grilled Vegetables,2022-02,60.0,300.0
Ice Cream,2022-02,150.0,750.0
Iced Tea,2022-02,25.0,62.5
Lemonade,2022-02,57.0,171.0
Mashed Potatoes,2022-02,87.0,348.0
Nachos Grande,2022-02,16.0,160.0
Onion Rings,2022-02,38.0,190.0
Orange Juice,2022-02,55.0,165.0
Pasta Alfredo,2022-02,113.0,1356.0
Salmon,2022-02,36.0,648.0
Side Salad,2022-02,111.0,333.0
Steak,2022-02,62.0,1240.0
Sweet Potato Fries,2022-02,65.0,325.0
Vegetarian Platter,2022-02,44.0,616.0
Water,2022-02,109.0,109.0
unknown,2022-02,119.0,848.0
Beef Chili,2022-03,104.0,728.0
Brownie,2022-03,67.0,402.0
Cheese Fries,2022-03,80.0,400.0
Cheesecake,2022-03,82.0,574.0
Chicken Melt,2022-03,49.0,392.0
Chocolate Cake,2022-03,97.0,582.0
Coca Cola,2022-03,89.0,222.5
French Fries,2022-03,141.0,564.0
Fruit Salad,2022-03,58.0,232.0
Garlic Bread,2022-03,38.0,152.0
Grilled Chicken,2022-03,95.0,1425.0
Grilled Vegetables,2022-03,64.0,320.0
Ice Cream,2022-03,106.0,530.0
Iced Tea,2022-03,45.0,112.5
Lemonade,2022-03,56.0,168.0
Mashed Potatoes,2022-03,138.0,552.0
Nachos Grande,2022-03,29.0,290.0
Onion Rings,2022-03,65.0,325.0
Orange Juice,2022-03,63.0,189.0
Pasta Alfredo,2022-03,155.0,1860.0
Salmon,2022-03,70.0,1260.0
Side Salad,2022-03,94.0,282.0
Steak,2022-03,102.0,2040.0
Sweet Potato Fries,2022-03,66.0,330.0
Vegetarian Platter,2022-03,52.0,728.0
Water,2022-03,180.0,180.0
unknown,2022-03,144.0,944.0
Beef Chili,2022-04,78.0,546.0
Brownie,2022-04,51.0,306.0
Cheese Fries,2022-04,80.0,400.0
Cheesecake,2022-04,58.0,406.0
Chicken Melt,2022-04,74.0,592.0
Chocolate Cake,2022-04,77.0,462.0
Coca Cola,2022-04,83.0,207.5
French Fries,2022-04,97.0,388.0
Fruit Salad,2022-04,44.0,176.0
Garlic Bread,2022-04,77.0,308.0
Grilled Chicken,2022-04,92.0,1380.0
Grilled Vegetables,2022-04,96.0,480.0
Ice Cream,2022-04,98.0,490.0
Iced Tea,2022-04,42.0,105.0
Lemonade,2022-04,94.0,282.0
Mashed Potatoes,2022-04,98.0,392.0
Nachos Grande,2022-04,40.0,400.0
Onion Rings,2022-04,36.0,180.0
Orange Juice,2022-04,84.0,252.0
Pasta Alfredo,2022-04,132.0,1584.0
Salmon,2022-04,62.0,1116.0
Side Salad,2022-04,116.0,348.0
Steak,2022-04,101.0,2020.0
Sweet Potato Fries,2022-04,57.0,285.0
Vegetarian Platter,2022-04,44.0,616.0
Water,2022-04,92.0,92.0
unknown,2022-04,165.0,1075.5
Beef Chili,2022-05,60.0,420.0
Brownie,2022-05,47.0,282.0
Cheese Fries,2022-05,106.0,530.0
Cheesecake,2022-05,64.0,448.0
Chicken Melt,2022-05,43.0,344.0
Chocolate Cake,2022-05,76.0,456.0
Coca Cola,2022-05,101.0,252.5
French Fries,2022-05,91.0,364.0
Fruit Salad,2022-05,47.0,188.0
Garlic Bread,2022-05,68.0,272.0
Grilled Chicken,2022-05,101.0,1515.0
Grilled Vegetables,2022-05,42.0,210.0
Ice Cream,2022-05,94.0,470.0
Iced Tea,2022-05,60.0,150.0
Lemonade,2022-05,48.0,144.0
Mashed Potatoes,2022-05,111.0,444.0
Nachos Grande,2022-05,43.0,430.0
Onion Rings,2022-05,47.0,235.0
Orange Juice,2022-05,89.0,267.0
Pasta Alfredo,2022-05,150.0,1800.0
Salmon,2022-05,53.0,954.0
Side Salad,2022-05,85.0,255.0
Steak,2022-05,71.0,1420.0
Sweet Potato Fries,2022-05,85.0,425.0
Vegetarian Platter,2022-05,55.0,770.0
Water,2022-05,153.0,153.0
unknown,2022-05,137.0,1037.5
Beef Chili,2022-06,31.0,217.0
Brownie,2022-06,60.0,360.0
Cheese Fries,2022-06,114.0,570.0
Cheesecake,2022-06,54.0,378.0
Chicken Melt,2022-06,74.0,592.0
Chocolate Cake,2022-06,108.0,648.0
Coca Cola,2022-06,140.0,350.0
French Fries,2022-06,120.0,480.0
Fruit Salad,2022-06,63.0,252.0
Garlic Bread,2022-06,48.0,192.0
Grilled Chicken,2022-06,134.0,2010.0
Grilled Vegetables,2022-06,78.0,390.0
Ice Cream,2022-06,139.0,695.0
Iced Tea,2022-06,63.0,157.5
Lemonade,2022-06,72.0,216.0
Mashed Potatoes,2022-06,93.0,372.0
Nachos Grande,2022-06,28.0,280.0
Onion Rings,2022-06,46.0,230.0
Orange Juice,2022-06,53.0,159.0
Pasta Alfredo,2022-06,143.0,1716.0
Salmon,2022-06,40.0,720.0
Side Salad,2022-06,154.0,462.0
Steak,2022-06,70.0,1400.0
Sweet Potato Fries,2022-06,46.0,230.0
Vegetarian Platter,2022-06,59.0,826.0
Water,2022-06,108.0,108.0
unknown,2022-06,165.0,1065.5
Beef Chili,2022-07,88.0,616.0
Brownie,2022-07,53.0,318.0
Cheese Fries,2022-07,57.0,285.0
Cheesecake,2022-07,72.0,504.0
Chicken Melt,2022-07,68.0,544.0
Chocolate Cake,2022-07,85.0,510.0
Coca Cola,2022-07,85.0,212.5
French Fries,2022-07,88.0,352.0
Fruit Salad,2022-07,49.0,196.0
Garlic Bread,2022-07,47.0,188.0
Grilled Chicken,2022-07,85.0,1275.0
