item,month_year,quantity,total_spent
Cake,2023-01,285.0,855.0
Coffee,2023-01,278.0,556.0
Cookie,2023-01,250.0,250.0
Juice,2023-01,306.0,918.0
Salad,2023-01,315.0,1575.0
Sandwich,2023-01,346.0,1384.0
Smoothie,2023-01,189.0,756.0
Tea,2023-01,264.0,396.0
Unknown,2023-01,215.0,564.0
Cake,2023-02,228.0,684.0
Coffee,2023-02,286.0,572.0
Cookie,2023-02,223.0,223.0
Juice,2023-02,282.0,846.0
Salad,2023-02,240.0,1200.0
Sandwich,2023-02,254.0,1016.0
Smoothie,2023-02,253.0,1012.0
Tea,2023-02,267.0,400.5
Unknown,2023-02,224.0,690.5
Cake,2023-03,267.0,801.0
Coffee,2023-03,325.0,650.0
Cookie,2023-03,269.0,269.0
Juice,2023-03,308.0,924.0
Salad,2023-03,266.0,1330.0
Sandwich,2023-03,294.0,1176.0
Smoothie,2023-03,247.0,988.0
Tea,2023-03,259.0,388.5
Unknown,2023-03,235.0,689.5
Cake,2023-04,272.0,816.0
Coffee,2023-04,256.0,512.0
Cookie,2023-04,218.0,218.0
Juice,2023-04,305.0,915.0
Salad,2023-04,292.0,1460.0
Sandwich,2023-04,257.0,1028.0
Smoothie,2023-04,287.0,1148.0
Tea,2023-04,245.0,367.5
Unknown,2023-04,241.0,714.5
Cake,2023-05,281.0,843.0
Coffee,2023-05,251.0,502.0
Cookie,2023-05,266.0,266.0
Juice,2023-05,277.0,831.0
Salad,2023-05,244.0,1220.0
Sandwich,2023-05,292.0,1168.0
Smoothie,2023-05,262.0,1048.0
Tea,2023-05,228.0,342.0
Unknown,2023-05,231.0,737.5
Cake,2023-06,259.0,777.0
Coffee,2023-06,295.0,590.0
Cookie,2023-06,255.0,255.0
Juice,2023-06,285.0,855.0
Salad,2023-06,301.0,1505.0
Sandwich,2023-06,276.0,1104.0
Smoothie,2023-06,285.0,1140.0
Tea,2023-06,260.0,390.0
Unknown,2023-06,245.0,737.0
Cake,2023-07,239.0,717.0
Coffee,2023-07,291.0,582.0
Cookie,2023-07,286.0,286.0
Juice,2023-07,209.0,627.0
Salad,2023-07,295.0,1475.0
Sandwich,2023-07,264.0,1056.0
Smoothie,2023-07,264.0,1056.0
Tea,2023-07,251.0,376.5
Unknown,2023-07,238.0,702.0
Cake,2023-08,278.0,834.0
Coffee,2023-08,304.0,608.0
Cookie,2023-08,249.0,249.0
Juice,2023-08,235.0,705.0
Salad,2023-08,290.0,1450.0
Sandwich,2023-08,256.0,1024.0
Smoothie,2023-08,263.0,1052.0
Tea,2023-08,284.0,426.0
Unknown,2023-08,251.0,764.5
Cake,2023-09,289.0,867.0
Coffee,2023-09,225.0,450.0
Cookie,2023-09,259.0,259.0
Juice,2023-09,245.0,735.0
Salad,2023-09,236.0,1180.0
Sandwich,2023-09,282.0,1128.0
Smoothie,2023-09,293.0,1172.0
Tea,2023-09,278.0,417.0
Unknown,2023-09,251.0,663.0
Cake,2023-10,317.0,951.0
Coffee,2023-10,340.0,680.0
Cookie,2023-10,257.0,257.0
Juice,2023-10,305.0,915.0
Salad,2023-10,284.0,1420.0
Sandwich,2023-10,242.0,968.0
Smoothie,2023-10,277.0,1108.0
Tea,2023-10,304.0,456.0
Unknown,2023-10,213.0,559.0
Cake,2023-11,309.0,927.0
Coffee,2023-11,246.0,492.0
Cookie,2023-11,289.0,289.0
Juice,2023-11,272.0,816.0
Salad,2023-11,294.0,1470.0
Sandwich,2023-11,249.0,996.0
Smoothie,2023-11,281.0,1124.0
Tea,2023-11,216.0,324.0
Unknown,2023-11,186.0,529.0
Cake,2023-12,254.0,762.0
Coffee,2023-12,310.0,620.0
Cookie,2023-12,255.0,255.0
Juice,2023-12,312.0,936.0
Salad,2023-12,258.0,1290.0
Sandwich,2023-12,255.0,1020.0
Smoothie,2023-12,293.0,1172.0
Tea,2023-12,254.0,381.0
Unknown,2023-12,236.0,741.0
